原	1
标题	2
李	3
一刀切	4
是	5
坚决	6
反对	7
的	8
总体上	9
也	10
不	11
存在	12
10月	13
23日	14
十九大	15
新闻	16
中心	17
举办	18
记者招待会	19
邀请	20
中央	21
财经	22
领导	23
小组	24
办公室	25
副主任	26
环境保护	27
部	28
党组书记	29
部长	30
介绍	31
践行	32
绿色	33
发展	34
理念	35
建设	36
美丽	37
中国	38
有关	39
情况	40
并	41
回答	42
记者	43
提问	44
图为	45
新华网	46
摄	47
下午	48
3	49
点	50
华尔街日报	51
想	52
请问	53
两位	54
关于	55
改善	56
生态环境	57
目标	58
和	59
要	60
保持	61
经济	62
稳	63
中	64
增长	65
这个	66
这	67
两个	68
之间	69
会不会	70
有一些	71
矛盾	72
政府	73
怎样	74
考虑	75
处理	76
我们	77
注意到	78
因为	79
环保	80
原因	81
厂	82
停业	83
现在	84
停产	85
关厂	86
造成	87
失业率	88
提高	89
谢谢	90
我	91
先	92
一下	93
问题	94
前天	95
在	96
新闻发布会	97
上	98
注意	99
到有	100
位	101
媒体	102
给	103
发改委	104
张勇	105
主任	106
提了	107
一个	108
类似	109
加强	110
是不是	111
会	112
影响	113
gdp	114
看	115
得	116
非常好	117
你	118
要说	119
对	120
企业	121
局部	122
微观	123
一点	124
都	125
没有	126
那是	127
不可能	128
但是	129
从长远看	130
从	131
宏观	132
上看	133
大局	134
推动	135
生态	136
文明	137
与	138
正	139
相关	140
习近平	141
总书记	142
讲	143
包括	144
次	145
报告	146
里	147
再次	148
重申	149
强调	150
必须	151
树立	152
绿水青山	153
就是	154
金山	155
银山	156
还	157
保护	158
生产力	159
我想	160
这是	161
建立	162
深刻	163
理性	164
分析	165
充分	166
无数	167
成功	168
实践	169
案例	170
基础上	171
科学	172
论断	173
国外	174
很多	175
国内	176
有	177
时间	178
有限	179
这里	180
就	181
枚举	182
展开	183
了	184
十八大	185
以来	186
尤其是	187
近两	188
年以来	189
开展	190
督察	191
也好	192
还是	193
目前	194
正在	195
一些	196
重点	197
地区	198
环境	199
执法	200
专项	201
行动	202
并没有	203
经济发展	204
大家	205
可以	206
看到	207
两年	208
国家	209
势头	210
非常	211
好的	212
各项	213
指标	214
财政	215
外贸	216
喜人	217
过程中	218
实际上	219
紧密	220
跟踪	221
这些	222
数据	223
发现	224
省份	225
它	226
受到	227
任何	228
某种	229
意义上	230
来讲	231
比	232
过去	233
还要	234
好	235
您提	236
到	237
就业问题	238
可能	239
您也	240
知道	241
主要	242
城市	243
调查	244
已经	245
降到	246
近些年	247
最低	248
水平	249
如果	250
说	251
这些年	252
就业	253
不会有	254
这么	255
数字	256
并且	257
向	258
既要	259
打	260
攻坚战	261
又要	262
持久战	263
积累	264
不是	265
